[['v', '.', '.', '.', '>', '>', '.', 'v', 'v', '>'], ['.', 'v', 'v', '>', '>', '.', 'v', 'v', '.', '.'], ['>', '>', '.', '>', 'v', '>', '.', '.', '.', 'v'], ['>', '>', 'v', '>', '>', '.', '>', '.', 'v', '.'], ['v', '>', 'v', '.', 'v', 'v', '.', 'v', '.', '.'], ['>', '.', '>', '>', '.', '.', 'v', '.', '.', '.'], ['.', 'v', 'v', '.', '.', '>', '.', '>', 'v', '.'], ['v', '.', 'v', '.', '.', '>', '>', 'v', '.', 'v'], ['.', '.', '.', '.', 'v', '.', '.', 'v', '.', '>']]
         19132957 function calls (19126077 primitive calls) in 5.480 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       20    0.000    0.000    0.000    0.000 generic.py:39(create_pandas_abc_type)
       63    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
    71/63    0.000    0.000    0.003    0.000 typing.py:340(__getitem__)
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
    71/51    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
  141/130    0.000    0.000    0.005    0.000 typing.py:248(inner)
        1    0.000    0.000    0.032    0.032 multiarray.py:7(<module>)
      303    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      108    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.004    0.004 generic.py:191(NDFrame)
        8    0.000    0.000    0.000    0.000 enum.py:182(<setcomp>)
      271    0.000    0.000    0.006    0.000 re.py:187(sub)
      355    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.008    0.008 fromnumeric.py:3(<module>)
      493    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
       56    0.000    0.000    0.000    0.000 _decorators.py:442(__call__)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      176    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.002    0.002 accessor.py:134(StringMethods)
  832/477    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.004    0.004 numerictypes.py:81(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2446(extend_all)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.163    0.163 __init__.py:106(<module>)
        3    0.000    0.000    0.000    0.000 expr.py:281(disallowed)
        1    0.000    0.000    0.004    0.004 expr.py:3(<module>)
      100    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      171    0.000    0.000    0.003    0.000 enum.py:289(__call__)
      102    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      263    0.000    0.000    0.001    0.000 re.py:172(match)
      119    0.000    0.000    0.000    0.000 extension.py:47(inherit_from_data)
       85    0.000    0.000    0.002    0.000 abc.py:125(__new__)
       66    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       99    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       91    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      475    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.005    0.005 _add_newdocs.py:10(<module>)
    33/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       31    0.000    0.000    0.000    0.000 typing.py:849(__init_subclass__)
      231    0.000    0.000    0.000    0.000 _decorators.py:348(doc)
       56    0.000    0.000    0.008    0.000 sre_compile.py:598(_code)
       37    0.000    0.000    0.001    0.000 typing.py:535(__init__)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
        3    0.000    0.000    0.006    0.002 datetimes.py:1(<module>)
       58    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:744(Thread)
    66/38    0.000    0.000    0.045    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
      294    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        2    0.000    0.000    0.009    0.005 categorical.py:1(<module>)
